Team,Year,GP,P,ROW,GF,Ave Salary,Salary Variation,Full Team Name,RawGini,Gini2,RosterSize,OrtegaGamma,Atkinson
ANA,2024,82,80,31,217,3094967,2453877.65,Anaheim Ducks,0.4289,0.18395521,25,0.6548,0.1578
BOS,2024,82,76,33,222,4030132,3256674.369,Boston Bruins,0.4451,0.19811401,19,0.6893,0.17
BUF,2024,82,79,32,265,3169409,2811172.853,Buffalo Sabres,0.4591,0.21077281,25,0.8195,0.1697
CGY,2024,82,96,36,220,2545387,2378075.497,Calgary Flames,0.4574,0.20921476,28,0.9052,0.1662
CAR,2024,82,99,47,266,3441485,2664050.267,Carolina Hurricanes,0.4197,0.17614809,27,0.6223,0.145
CHI,2024,82,61,23,224,3005159,1937055.468,Chicago Blackhawks,0.356,0.126736,24,0.4335,0.1104
COL,2024,82,102,45,273,3899038,2948145.447,Colorado Avalanche,0.409,0.167281,26,0.5946,0.1412
CBJ,2024,82,89,34,267,2638782,2157052.027,Columbus Blue Jackets,0.4183,0.17497489,26,0.6949,0.1376
DAL,2024,82,106,48,275,4159931,3084401.483,Dallas Stars,0.4117,0.16949689,24,0.5737,0.1449
DET,2024,82,86,36,235,3408528,2705530.507,Detroit Red Wings,0.4342,0.18852964,26,0.6552,0.161
EDM,2024,82,101,48,259,3082417,2873996.611,Edmonton Oilers,0.4641,0.21538881,30,0.8993,0.1707
FLA,2024,82,98,41,246,3852685,3283531.406,Florida Panthers,0.463,0.214369,27,0.7543,0.1817
LAK,2024,82,105,47,249,3230982,2751073.983,Los Angeles Kings,0.452,0.204304,28,0.7518,0.1769
MIN,2024,82,97,42,225,3223841,2337742.455,Minnesota Wild,0.3953,0.15626209,23,0.5497,0.1264
MTL,2024,82,91,38,243,3493533,2826979.43,Montreal Canadiens,0.4355,0.18966025,25,0.6821,0.1566
NSH,2024,82,68,28,212,2968032,2818358.421,Nashville Predators,0.4873,0.23746129,23,0.9427,0.1996
NJD,2024,82,91,40,240,3158790,2653514.13,New Jersey Devils,0.4481,0.20079361,31,0.7292,0.1639
NYI,2024,82,82,33,222,3130874,2664873.513,New York Islanders,0.4561,0.20802721,28,0.7513,0.1722
NYR,2024,82,85,38,255,3015441,3108796.667,New York Rangers,0.5097,0.25979409,28,1.1022,0.2108
OTT,2024,82,97,44,242,3626627,2763342.411,Ottawa Senators,0.4229,0.17884441,24,0.6058,0.1572
PHI,2024,82,76,27,232,2680167,2109731.549,Philadelphia Flyers,0.4119,0.16966161,25,0.6454,0.1347
PIT,2024,82,80,33,242,2754152,2687230.821,Pittsburgh Penguins,0.4827,0.23299929,33,0.9817,0.187
SJS,2024,82,52,18,208,2281773,2013316.902,San Jose Sharks,0.432,0.186624,27,0.8085,0.1492
SEA,2024,82,76,33,245,3761452,2404931.781,Seattle Kraken,0.3603,0.12981609,20,0.4303,0.1276
STL,2024,82,96,40,250,3554822,2621810.743,St. Louis Blues,0.4098,0.16793604,25,0.5666,0.1512
TBL,2024,82,102,45,292,4031354,3312041.436,Tampa Bay Lightning,0.4506,0.20304036,24,0.7043,0.1873
TOR,2024,82,108,51,267,3605127,3713928.916,Toronto Maple Leafs,0.5056,0.25563136,27,1.1021,0.2049
VAN,2024,82,90,35,233,3340551,2858116.696,Vancouver Canucks,0.4502,0.20268004,23,0.7653,0.1648
VGK,2024,82,110,49,274,3367327,2916780.192,Vegas Golden Knights,0.4595,0.21114025,29,0.7771,0.1704
WPG,2024,82,116,54,275,2904124,2383544.868,Winnipeg Jets,0.4373,0.19123129,31,0.6961,0.1537
ANA,2023,82,59,26,203,2489057.54,2217507.36,Anaheim Ducks,0.4525,0.20475625,28,0.8231,0.173
ARI,2023,82,77,34,254,2985676,2364045.03,Arizona Coyotes,0.4192,0.17572864,22,0.6568,0.1385
BOS,2023,82,109,43,263,3040892.86,2721313.96,Boston Bruins,0.4578,0.20958084,28,0.8305,0.17
BUF,2023,82,84,37,244,3109720.43,2335254.38,Buffalo Sabres,0.4062,0.16499844,23,0.5896,0.1319
CGY,2023,82,81,38,253,3166413.04,2715019.08,Calgary Flames,0.4541,0.20620681,23,0.7686,0.1788
CAR,2023,82,111,50,277,3533682.11,2659839.32,Carolina Hurricanes,0.4178,0.17455684,27,0.5884,0.148
CHI,2023,82,52,22,178,2657651.5,2232513.28,Chicago Blackhawks,0.4303,0.18515809,22,0.7393,0.1507
COL,2023,82,107,48,302,3542000,3106338.04,Colorado Avalanche,0.4573,0.20912329,25,0.8012,0.1691
CBJ,2023,82,66,24,234,2913621.77,2895721.37,Columbus Blue Jackets,0.4938,0.24383844,26,1.0273,0.1979
DAL,2023,82,113,48,294,3791159.43,3012632.13,Dallas Stars,0.4329,0.18740241,23,0.6602,0.1569
DET,2023,82,91,38,275,3548787.86,2240915.98,Detroit Red Wings,0.353,0.124609,22,0.4177,0.1059
EDM,2023,82,104,47,292,3502083.33,3129943.31,Edmonton Oilers,0.4668,0.21790224,24,0.8335,0.1787
FLA,2023,82,110,49,265,3283205.15,2964452.14,Florida Panthers,0.4652,0.21641104,26,0.8479,0.1726
LAK,2023,82,99,42,254,3580253.65,3174855.54,Los Angeles Kings,0.4705,0.22137025,23,0.8221,0.184
MIN,2023,82,87,36,248,2839266.64,2458436.93,Minnesota Wild,0.4519,0.20421361,25,0.781,0.1633
MTL,2023,82,76,26,232,2982147.38,2681425.04,Montreal Canadiens,0.4642,0.21548164,26,0.8408,0.1745
NSH,2023,82,99,44,266,3102038,2393597.46,Nashville Predators,0.4129,0.17048641,24,0.6213,0.1401
NJD,2023,82,81,38,264,3111800,2878462.82,New Jersey Devils,0.4774,0.22791076,25,0.8913,0.1897
NYI,2023,82,94,38,245,3299709.92,2512250.66,New York Islanders,0.4177,0.17447329,26,0.6028,0.144
NYR,2023,82,114,51,278,3660360.92,3116728.59,New York Rangers,0.4574,0.20921476,25,0.7552,0.1766
OTT,2023,82,78,32,250,3191383.88,2734603.82,Ottawa Senators,0.4586,0.21031396,24,0.7662,0.1771
PHI,2023,82,87,34,231,3201979.17,2310686.61,Philadelphia Flyers,0.3963,0.15705369,24,0.5434,0.1272
PIT,2023,82,88,36,253,3554355.43,2808273.72,Pittsburgh Penguins,0.4218,0.17791524,23,0.6526,0.1533
SJS,2023,82,47,18,180,2288125,1930862.06,San Jose Sharks,0.4243,0.18003049,28,0.7385,0.1415
SEA,2023,82,81,31,214,3310688.39,2038718.88,Seattle Kraken,0.3475,0.12075625,23,0.3964,0.1082
STL,2023,82,92,38,234,3816834.41,2741738.79,St. Louis Blues,0.3995,0.15960025,22,0.5406,0.1554
TBL,2023,82,98,42,288,3517380.89,3275531.76,Tampa Bay Lightning,0.4917,0.24176889,28,0.8993,0.2076
TOR,2023,82,102,41,298,3591881.63,3242151.78,Toronto Maple Leafs,0.4731,0.22382361,30,0.8428,0.1822
VAN,2023,82,109,50,279,3392350,2392075.89,Vancouver Canucks,0.3949,0.15594601,25,0.5179,0.1312
VGK,2023,82,98,41,263,3941758.63,2779646.87,Vegas Golden Knights,0.3902,0.15225604,27,0.5164,0.1324
WPG,2023,82,110,52,259,3297763.69,2073569.52,Winnipeg Jets,0.356,0.126736,26,0.4112,0.1121
ANA,2022,82,58,20,206,2122000,1855197.9,Anaheim Ducks,0.4327,0.18722929,30,0.7907,0.1508
ARI,2022,82,70,25,225,2897550.61,2463564.27,Arizona Coyotes,0.4497,0.20223009,23,0.7557,0.1626
BOS,2022,82,135,61,301,3574733.32,2299605.6,Boston Bruins,0.3593,0.12909649,25,0.4311,0.1125
BUF,2022,82,91,39,293,2511018.52,2040183.76,Buffalo Sabres,0.4083,0.16670889,27,0.6855,0.1307
CGY,2022,82,93,36,258,3514583.33,2045608.44,Calgary Flames,0.3302,0.10903204,24,0.3535,0.1068
CAR,2022,82,113,48,262,3539330.26,2449380.49,Carolina Hurricanes,0.389,0.151321,27,0.4973,0.1296
CHI,2022,82,59,24,202,2480000,2596206.66,Chicago Blackhawks,0.4842,0.23444964,25,1.1416,0.1889
COL,2022,82,109,45,274,3336153.85,2603170.87,Colorado Avalanche,0.4249,0.18054001,26,0.6332,0.15
CBJ,2022,82,59,24,213,2636666.64,2792183.75,Columbus Blue Jackets,0.5023,0.25230529,25,1.1682,0.205
DAL,2022,82,108,43,281,3447300,2860656.76,Dallas Stars,0.4458,0.19873764,25,0.7173,0.1621
DET,2022,82,80,32,237,2147307.69,1707885.52,Detroit Red Wings,0.4106,0.16859236,26,0.6579,0.1347
EDM,2022,82,109,50,325,3410166.64,3077210.58,Edmonton Oilers,0.4678,0.21883684,25,0.8482,0.1788
FLA,2022,82,92,40,288,3230000.04,3090266.97,Florida Panthers,0.4941,0.24413481,25,0.9535,0.1993
LAK,2022,82,104,41,274,2892230.32,2915584.16,Los Angeles Kings,0.5002,0.25020004,25,1.0586,0.2114
MIN,2022,82,103,39,239,2975956.78,2505185.17,Minnesota Wild,0.4477,0.20043529,27,0.7359,0.1633
MTL,2022,82,68,26,227,2992876.29,2481137.29,Montreal Canadiens,0.437,0.190969,31,0.7102,0.1587
NSH,2022,82,92,36,223,2661060.82,2751440.44,Nashville Predators,0.5018,0.25180324,28,1.1087,0.2069
NJD,2022,82,112,50,289,3276825.27,2419989.03,New Jersey Devils,0.4055,0.16443025,26,0.5672,0.136
NYI,2022,82,93,41,242,3235576.92,2199234.14,New York Islanders,0.3813,0.14538969,26,0.4805,0.1281
NYR,2022,82,107,43,273,3864214.28,3504282.95,New York Rangers,0.4852,0.23541904,25,0.8567,0.1973
OTT,2022,82,86,37,259,2948928.6,2555723.09,Ottawa Senators,0.4563,0.20820969,25,0.7824,0.1702
PHI,2022,82,75,29,220,3421007.6,2480601.9,Philadelphia Flyers,0.4032,0.16257024,25,0.5477,0.1469
PIT,2022,82,91,39,261,3464590.62,2268627.45,Pittsburgh Penguins,0.3687,0.13593969,24,0.4474,0.1215
SJS,2022,82,60,21,233,2851153.85,2754191.67,San Jose Sharks,0.4679,0.21893041,26,0.9705,0.1738
SEA,2022,82,100,46,289,3070256.38,1888304.28,Seattle Kraken,0.3475,0.12075625,26,0.3934,0.112
STL,2022,82,81,34,260,3160797.09,2266932.36,St. Louis Blues,0.3994,0.15952036,23,0.5378,0.1428
TBL,2022,82,98,43,280,3591354.17,3210427.02,Tampa Bay Lightning,0.4759,0.22648081,24,0.8339,0.1919
TOR,2022,82,111,49,278,3458807.34,3423472.54,Toronto Maple Leafs,0.5048,0.25482304,29,1.0147,0.2081
VAN,2022,82,83,32,270,3041681.03,2469161.14,Vancouver Canucks,0.4411,0.19456921,29,0.6825,0.1656
VGK,2022,82,111,46,267,3417528.14,2611455.69,Vegas Golden Knights,0.4042,0.16337764,29,0.6048,0.1309
WPG,2022,82,95,45,246,3203068.74,2498568.3,Winnipeg Jets,0.4258,0.18130564,27,0.6319,0.1626
ANA,2021,82,76,27,228,2005157.04,1860871.19,Anaheim Ducks,0.4389,0.19263321,26,0.8957,0.1569
ARI,2021,82,57,24,206,2605080.82,2267641.26,Arizona Coyotes,0.4549,0.20693401,33,0.7814,0.1765
BOS,2021,82,107,49,253,2823848.58,2039182.51,Boston Bruins,0.3992,0.15936064,31,0.5389,0.1331
BUF,2021,82,75,29,229,2273222.2,2105250.37,Buffalo Sabres,0.4532,0.20539024,30,0.8873,0.164
CGY,2021,82,111,48,291,3190219.11,2210808.69,Calgary Flames,0.388,0.150544,27,0.4987,0.1361
CAR,2021,82,116,53,277,3572411.4,2294071.59,Carolina Hurricanes,0.3606,0.13003236,25,0.4296,0.1159
CHI,2021,82,68,22,213,3014062.5,2869146.43,Chicago Blackhawks,0.4774,0.22791076,24,0.9455,0.1899
COL,2021,82,119,52,308,3122172.61,2553172.55,Colorado Avalanche,0.4392,0.19289664,28,0.6935,0.159
CBJ,2021,82,81,33,258,2357306.1,2087612.47,Columbus Blue Jackets,0.443,0.196249,29,0.8123,0.1549
DAL,2021,82,98,41,233,3178240.74,2806300.99,Dallas Stars,0.4623,0.21372129,27,0.8096,0.1699
DET,2021,82,74,29,227,2073247.14,1641273.03,Detroit Red Wings,0.411,0.168921,29,0.6491,0.136
EDM,2021,82,104,44,285,3306466.32,2730371.69,Edmonton Oilers,0.4169,0.17380561,25,0.7103,0.1384
FLA,2021,82,122,55,337,2977347.2,2569213.76,Florida Panthers,0.453,0.205209,30,0.7703,0.1652
