Team,Season,GP,P,RW,ROW,GF,Average Salary,Salary Variation
Anaheim Ducks,20152016,82,103,43,215,,2401574.04,2159087.15
Arizona Coyotes,20152016,82,78,34,208,,2264886.22,1731196.27
Boston Bruins,20152016,82,93,38,236,,2852291.67,2286487.71
Buffalo Sabres,20152016,82,81,33,199,,2306347.64,1765979.25
Calgary Flames,20152016,82,77,33,229,,2710037.86,1628922.47
Carolina Hurricanes,20152016,82,86,33,196,,2068939.32,2024000.16
Chicago Blackhawks,20152016,82,103,46,234,,2898790.08,2956177.55
Colorado Avalanche,20152016,82,82,35,212,,2489176.73,1834235.53
Columbus Blue Jackets,20152016,82,76,28,213,,2814948.22,2129180.85
Dallas Stars,20152016,82,109,48,265,,2590248.15,2049272.14
Detroit Red Wings,20152016,82,93,39,209,,2791115.12,2033989.46
Edmonton Oilers,20152016,82,70,27,199,,2314089.52,1819082.7
Florida Panthers,20152016,82,103,40,232,,2665790.78,1799223.79
Los Angeles Kings,20152016,82,102,46,223,,3055156.89,2069889.8
Minnesota Wild,20152016,82,87,35,213,,2939778.08,2364541.23
Montréal Canadiens,20152016,82,82,33,216,,2489940.43,2240240.89
Nashville Predators,20152016,82,96,37,224,,2503552.4,2091733.4
New Jersey Devils,20152016,82,84,36,182,,2483260.83,2071622.75
New York Islanders,20152016,82,100,40,227,,2496474.37,1717495.34
New York Rangers,20152016,82,101,43,233,,3533652.17,2628241.93
Ottawa Senators,20152016,82,85,32,230,,2307943.54,1831446.91
Philadelphia Flyers,20152016,82,96,38,211,,2603076.92,1973059.43
Pittsburgh Penguins,20152016,82,104,44,241,,2687959.69,2610148.35
San Jose Sharks,20152016,82,98,42,237,,2856099.96,2087433.94
St. Louis Blues,20152016,82,107,44,219,,2975989.58,2142451.59
Tampa Bay Lightning,20152016,82,97,43,224,,2784792.35,2073946.08
Toronto Maple Leafs,20152016,82,69,23,192,,2744393.95,1607772.05
Vancouver Canucks,20152016,82,75,26,186,,2825870.04,2026210.62
Washington Capitals,20152016,82,120,52,248,,2933234.54,2313077.18
Winnipeg Jets,20152016,82,78,32,212,,2042931.03,1784448.37
