Team,Season,GP,P,ROW,GF,,
Team,Season,GP,P,ROW,GF,Average Salary,Salary Variation
Anaheim Ducks,20162017,82,105,43,220,2826916.82,2298835.9
Arizona Coyotes,20162017,82,70,24,191,2205835.54,1767147.94
Boston Bruins,20162017,82,95,42,232,2658482.14,2318697.79
Buffalo Sabres,20162017,82,78,31,199,2758427.23,2057393.75
Calgary Flames,20162017,82,94,41,222,3012433.4,2054334.93
Carolina Hurricanes,20162017,82,87,33,212,2126856.05,1737246.69
Chicago Blackhawks,20162017,82,109,46,240,2826158.77,2957448.16
Colorado Avalanche,20162017,82,48,21,165,2554224.24,2154513.81
Columbus Blue Jackets,20162017,82,108,48,247,2525504.9,2129864.15
Dallas Stars,20162017,82,79,33,222,2754639.83,2188562.34
Detroit Red Wings,20162017,82,79,24,198,3016030.91,1976681.5
Edmonton Oilers,20162017,82,103,43,243,2396499.93,1838161.73
Florida Panthers,20162017,82,81,30,205,2585347.21,1795994.95
Los Angeles Kings,20162017,82,86,37,199,3310915.61,2463434.29
Minnesota Wild,20162017,82,106,46,263,2961010.28,2171273.41
Montréal Canadiens,20162017,82,103,44,223,2919394.79,2252264.87
Nashville Predators,20162017,82,94,39,238,2364109.17,2265194.07
New Jersey Devils,20162017,82,70,25,180,2818951.14,2018321.32
New York Islanders,20162017,82,94,39,239,2947103.25,1731080.82
New York Rangers,20162017,82,102,45,253,2793518.52,2308564.9
Ottawa Senators,20162017,82,98,38,206,2608027.77,2100460.65
Philadelphia Flyers,20162017,82,88,32,212,2877469.2,2214356.08
Pittsburgh Penguins,20162017,82,111,46,278,2787067.45,2583142.85
San Jose Sharks,20162017,82,99,44,219,3328968.29,2042451.89
St. Louis Blues,20162017,82,99,44,233,2980329.88,2220661.25
Tampa Bay Lightning,20162017,82,94,38,230,2840708.3,2141608.14
Toronto Maple Leafs,20162017,82,95,39,250,2320505.96,1653653.66
Vancouver Canucks,20162017,82,69,26,178,2307284.48,2111921.29
Washington Capitals,20162017,82,118,53,261,3328049.04,2254836.78
Winnipeg Jets,20162017,82,87,37,246,2443075.31,2095336.75
