Team,Season,GP,P,ROW,GF,Average Salary,Salary Variation
Anaheim Ducks,20172018,82,101,40,231,2674226.18,2241448.91
Arizona Coyotes,20172018,82,70,27,206,2105277.67,1886998.32
Boston Bruins,20172018,82,112,47,267,2989683.28,2635155.75
Buffalo Sabres,20172018,82,62,24,198,2587479.3,2075378.51
Calgary Flames,20172018,82,84,35,216,2806152.54,2143076.74
Carolina Hurricanes,20172018,82,83,33,225,2497874.95,1770892.57
Chicago Blackhawks,20172018,82,76,32,228,3172013.41,3173234.66
Colorado Avalanche,20172018,82,95,41,255,2387520.52,2208076.54
Columbus Blue Jackets,20172018,82,97,39,236,2643505.3,2040353.6
Dallas Stars,20172018,82,92,38,231,3274393.95,2544256.99
Detroit Red Wings,20172018,82,73,25,212,3018009.64,1975153.19
Edmonton Oilers,20172018,82,78,31,229,2510029.78,2254238.89
Florida Panthers,20172018,82,96,41,245,2767048.58,2110036.13
Los Angeles Kings,20172018,82,98,43,237,2861481.5,2561375.55
Minnesota Wild,20172018,82,101,42,250,2652365.17,2278777.75
Montréal Canadiens,20172018,82,71,27,207,2394473.38,2200477.18
Nashville Predators,20172018,82,117,47,261,2657048.58,2295452.11
New Jersey Devils,20172018,82,97,39,243,2148787.11,1847996.14
New York Islanders,20172018,82,80,32,261,2802532.08,1848519.71
New York Rangers,20172018,82,77,31,228,2432066.64,2185797.38
Ottawa Senators,20172018,82,67,26,219,2937689.36,2046283.28
Philadelphia Flyers,20172018,82,98,40,249,2996932.68,2142220.7
Pittsburgh Penguins,20172018,82,100,45,270,3231341.12,2699001.34
San Jose Sharks,20172018,82,100,40,247,3048666.68,2247305.08
St. Louis Blues,20172018,82,94,41,223,2732800,2237722.2
Tampa Bay Lightning,20172018,82,113,48,290,2880555.56,2282405.67
Toronto Maple Leafs,20172018,82,105,42,270,2917403.85,1894000.27
Vancouver Canucks,20172018,82,73,31,218,2661664.63,2051223.36
Vegas Golden Knights,20172018,82,109,47,268,2170156.22,1746890.05
Washington Capitals,20172018,82,105,46,256,2827043.29,2594559.54
Winnipeg Jets,20172018,82,114,48,273,2569055.53,2219589.99
