Team,Year,GP,P,ROW,Ave Salary,Salary Variation,Full Team Name,Gini,Gini2,RosterSize
ANA,2024,82,80,31,3094967,2453877.65,Anaheim Ducks,0.4289,0.18395521,25
BOS,2024,82,76,33,4030132,3256674.369,Boston Bruins,0.4451,0.19811401,19
BUF,2024,82,79,32,3169409,2811172.853,Buffalo Sabres,0.4591,0.21077281,25
CGY,2024,82,96,36,2545387,2378075.497,Calgary Flames,0.4574,0.20921476,28
CAR,2024,82,99,47,3441485,2664050.267,Carolina Hurricanes,0.4197,0.17614809,27
CHI,2024,82,61,23,3005159,1937055.468,Chicago Blackhawks,0.356,0.126736,24
COL,2024,82,102,45,3899038,2948145.447,Colorado Avalanche,0.409,0.167281,26
CBJ,2024,82,89,34,2638782,2157052.027,Columbus Blue Jackets,0.4183,0.17497489,26
DAL,2024,82,106,48,4159931,3084401.483,Dallas Stars,0.4117,0.16949689,24
DET,2024,82,86,36,3408528,2705530.507,Detroit Red Wings,0.4342,0.18852964,26
EDM,2024,82,101,48,3082417,2873996.611,Edmonton Oilers,0.4641,0.21538881,30
FLA,2024,82,98,41,3852685,3283531.406,Florida Panthers,0.463,0.214369,27
LAK,2024,82,105,47,3230982,2751073.983,Los Angeles Kings,0.452,0.204304,28
MIN,2024,82,97,42,3223841,2337742.455,Minnesota Wild,0.3953,0.15626209,23
MTL,2024,82,91,38,3493533,2826979.43,Montreal Canadiens,0.4355,0.18966025,25
NSH,2024,82,68,28,2968032,2818358.421,Nashville Predators,0.4873,0.23746129,23
NJD,2024,82,91,40,3158790,2653514.13,New Jersey Devils,0.4481,0.20079361,31
NYI,2024,82,82,33,3130874,2664873.513,New York Islanders,0.4561,0.20802721,28
NYR,2024,82,85,38,3015441,3108796.667,New York Rangers,0.5097,0.25979409,28
OTT,2024,82,97,44,3626627,2763342.411,Ottawa Senators,0.4229,0.17884441,24
PHI,2024,82,76,27,2680167,2109731.549,Philadelphia Flyers,0.4119,0.16966161,25
PIT,2024,82,80,33,2754152,2687230.821,Pittsburgh Penguins,0.4827,0.23299929,33
SJS,2024,82,52,18,2281773,2013316.902,San Jose Sharks,0.432,0.186624,27
SEA,2024,82,76,33,3761452,2404931.781,Seattle Kraken,0.3603,0.12981609,20
STL,2024,82,96,40,3554822,2621810.743,St. Louis Blues,0.4098,0.16793604,25
TBL,2024,82,102,45,4031354,3312041.436,Tampa Bay Lightning,0.4506,0.20304036,24
TOR,2024,82,108,51,3605127,3713928.916,Toronto Maple Leafs,0.5056,0.25563136,27
VAN,2024,82,90,35,3340551,2858116.696,Vancouver Canucks,0.4502,0.20268004,23
VGK,2024,82,110,49,3367327,2916780.192,Vegas Golden Knights,0.4595,0.21114025,29
WPG,2024,82,116,54,2904124,2383544.868,Winnipeg Jets,0.4373,0.19123129,31
ANA,2023,82,59,26,2489057.54,2217507.36,Anaheim Ducks,0.4525,0.20475625,28
ARI,2023,82,77,34,2985676,2364045.03,Arizona Coyotes,0.4192,0.17572864,22
BOS,2023,82,109,43,3040892.86,2721313.96,Boston Bruins,0.4578,0.20958084,28
BUF,2023,82,84,37,3109720.43,2335254.38,Buffalo Sabres,0.4062,0.16499844,23
CGY,2023,82,81,38,3166413.04,2715019.08,Calgary Flames,0.4541,0.20620681,23
CAR,2023,82,111,50,3533682.11,2659839.32,Carolina Hurricanes,0.4178,0.17455684,27
CHI,2023,82,52,22,2657651.5,2232513.28,Chicago Blackhawks,0.4303,0.18515809,22
COL,2023,82,107,48,3542000,3106338.04,Colorado Avalanche,0.4573,0.20912329,25
CBJ,2023,82,66,24,2913621.77,2895721.37,Columbus Blue Jackets,0.4938,0.24383844,26
DAL,2023,82,113,48,3791159.43,3012632.13,Dallas Stars,0.4329,0.18740241,23
DET,2023,82,91,38,3548787.86,2240915.98,Detroit Red Wings,0.353,0.124609,22
EDM,2023,82,104,47,3502083.33,3129943.31,Edmonton Oilers,0.4668,0.21790224,24
FLA,2023,82,110,49,3283205.15,2964452.14,Florida Panthers,0.4652,0.21641104,26
LAK,2023,82,99,42,3580253.65,3174855.54,Los Angeles Kings,0.4705,0.22137025,23
MIN,2023,82,87,36,2839266.64,2458436.93,Minnesota Wild,0.4519,0.20421361,25
MTL,2023,82,76,26,2982147.38,2681425.04,Montreal Canadiens,0.4642,0.21548164,26
NSH,2023,82,99,44,3102038,2393597.46,Nashville Predators,0.4129,0.17048641,24
NJD,2023,82,81,38,3111800,2878462.82,New Jersey Devils,0.4774,0.22791076,25
NYI,2023,82,94,38,3299709.92,2512250.66,New York Islanders,0.4177,0.17447329,26
NYR,2023,82,114,51,3660360.92,3116728.59,New York Rangers,0.4574,0.20921476,25
OTT,2023,82,78,32,3191383.88,2734603.82,Ottawa Senators,0.4586,0.21031396,24
PHI,2023,82,87,34,3201979.17,2310686.61,Philadelphia Flyers,0.3963,0.15705369,24
PIT,2023,82,88,36,3554355.43,2808273.72,Pittsburgh Penguins,0.4218,0.17791524,23
SJS,2023,82,47,18,2288125,1930862.06,San Jose Sharks,0.4243,0.18003049,28
SEA,2023,82,81,31,3310688.39,2038718.88,Seattle Kraken,0.3475,0.12075625,23
STL,2023,82,92,38,3816834.41,2741738.79,St. Louis Blues,0.3995,0.15960025,22
TBL,2023,82,98,42,3517380.89,3275531.76,Tampa Bay Lightning,0.4917,0.24176889,28
TOR,2023,82,102,41,3591881.63,3242151.78,Toronto Maple Leafs,0.4731,0.22382361,30
VAN,2023,82,109,50,3392350,2392075.89,Vancouver Canucks,0.3949,0.15594601,25
VGK,2023,82,98,41,3941758.63,2779646.87,Vegas Golden Knights,0.3902,0.15225604,27
WPG,2023,82,110,52,3297763.69,2073569.52,Winnipeg Jets,0.356,0.126736,26
ANA,2022,82,58,20,2122000,1855197.9,Anaheim Ducks,0.4327,0.18722929,30
ARI,2022,82,70,25,2897550.61,2463564.27,Arizona Coyotes,0.4497,0.20223009,23
BOS,2022,82,135,61,3574733.32,2299605.6,Boston Bruins,0.3593,0.12909649,25
BUF,2022,82,91,39,2511018.52,2040183.76,Buffalo Sabres,0.4083,0.16670889,27
CGY,2022,82,93,36,3514583.33,2045608.44,Calgary Flames,0.3302,0.10903204,24
CAR,2022,82,113,48,3539330.26,2449380.49,Carolina Hurricanes,0.389,0.151321,27
CHI,2022,82,59,24,2480000,2596206.66,Chicago Blackhawks,0.4842,0.23444964,25
COL,2022,82,109,45,3336153.85,2603170.87,Colorado Avalanche,0.4249,0.18054001,26
CBJ,2022,82,59,24,2636666.64,2792183.75,Columbus Blue Jackets,0.5023,0.25230529,25
DAL,2022,82,108,43,3447300,2860656.76,Dallas Stars,0.4458,0.19873764,25
DET,2022,82,80,32,2147307.69,1707885.52,Detroit Red Wings,0.4106,0.16859236,26
